month	pder
1980M01	7.416700
1980M02	7.417900
1980M03	7.425900
1980M04	7.443400
1980M05	7.509500
1980M06	7.520900
1980M07	7.543200
1980M08	7.556200
1980M09	7.562200
1980M10	7.566900
1980M11	7.580200
1980M12	7.594200
1981M01	7.632300
1981M02	7.668000
1981M03	7.730300
1981M04	7.790400
1981M05	7.850400
1981M06	7.934900
1981M07	7.949100
1981M08	7.951600
1981M09	7.992000
1981M10	8.064100
1981M11	8.100900
1981M12	8.131200
1982M01	8.254300
1982M02	8.283100
1982M03	8.340500
1982M04	8.379200
1982M05	8.416300
1982M06	8.450900
1982M07	8.487800
1982M08	8.529300
1982M09	8.638000
1982M10	8.766400
1982M11	8.875200
1982M12	9.059400
1983M01	9.286500
1983M02	9.464400
1983M03	9.605700
1983M04	9.869300
1983M05	10.03160
1983M06	10.38460
1983M07	11.00170
1983M08	11.00160
1983M09	11.00180
1983M10	13.70160
1983M11	14.00200
1983M12	14.00200
1984M01	14.00200
1984M02	14.00200
1984M03	14.00200
1984M04	14.00200
1984M05	14.00200
1984M06	17.40200
1984M07	18.00200
1984M08	18.00200
1984M09	18.00200
1984M10	19.14820
1984M11	19.95900
1984M12	19.85930
1985M01	18.97940
1985M02	18.25570
1985M03	18.47780
1985M04	18.48410
1985M05	18.48000
1985M06	18.47270
1985M07	18.58100
1985M08	18.60480
1985M09	18.61570
1985M10	18.70390
1985M11	18.73680
1985M12	18.89630
1986M01	19.04170
1986M02	20.46090
1986M03	20.78110
1986M04	20.50450
1986M05	20.50030
1986M06	20.55200
1986M07	20.45430
1986M08	20.43170
1986M09	20.50920
1986M10	20.43720
1986M11	20.43600
1986M12	20.51980
1987M01	20.46290
1987M02	20.52520
1987M03	20.56250
1987M04	20.50480
1987M05	20.47320
1987M06	20.45640
1987M07	20.45000
1987M08	20.43870
1987M09	20.60050
1987M10	20.70620
1987M11	20.81710
1987M12	20.81480
1988M01	20.84620
1988M02	20.90300
1988M03	21.02770
1988M04	21.02960
1988M05	20.95500
1988M06	20.94870
1988M07	21.02470
1988M08	21.05910
1988M09	21.24850
1988M10	21.36160
1988M11	21.37710
1988M12	21.35600
1989M01	21.34210
1989M02	21.35750
1989M03	21.33880
1989M04	21.41360
1989M05	21.57960
1989M06	21.68000
1989M07	21.88650
1989M08	21.88000
1989M09	21.96910
1989M10	21.95890
1989M11	22.09900
1989M12	22.33520
1990M01	22.46440
1990M02	22.62450
1990M03	22.75940
1990M04	22.76090
1990M05	22.90180
1990M06	23.10260
1990M07	23.56320
1990M08	24.44740
1990M09	25.35190
1990M10	25.75000
1990M11	28.00000
1990M12	28.00000
1991M01	28.00000
1991M02	28.00000
1991M03	28.00000
1991M04	27.92610
1991M05	27.81860
1991M06	27.79550
1991M07	27.62100
1991M08	27.19950
1991M09	26.98340
1991M10	26.99460
1991M11	26.73660
1991M12	26.66830
1992M01	26.54460
1992M02	26.15800
1992M03	25.81020
1992M04	25.66720
1992M05	26.14960
1992M06	26.12050
1992M07	25.26160
1992M08	24.66910
1992M09	24.72600
1992M10	24.78490
1992M11	24.93610
1992M12	25.32210
1993M01	25.28010
1993M02	25.31160
1993M03	25.36560
1993M04	26.07800
1993M05	27.00640
1993M06	27.20630
1993M07	27.56880
1993M08	27.94890
1993M09	28.23370
1993M10	29.16000
1993M11	28.48490
1993M12	27.79390
1994M01	27.72450
1994M02	27.64630
1994M03	27.58720
1994M04	27.52980
1994M05	27.05300
1994M06	26.97560
1994M07	26.46080
1994M08	26.31320
1994M09	25.91130
1994M10	25.39450
1994M11	24.26480
1994M12	24.14500
1995M01	24.62230
1995M02	25.02820
1995M03	25.85900
1995M04	26.00770
1995M05	25.84930
1995M06	25.67420
1995M07	25.51400
1995M08	25.71090
1995M09	25.96920
1995M10	25.96540
1995M11	26.16710
1995M12	26.20600
1996M01	26.21160
1996M02	26.15880
1996M03	26.19570
1996M04	26.18970
1996M05	26.17590
1996M06	26.19440
1996M07	26.19950
1996M08	26.19940
1996M09	26.23560
1996M10	26.26930
1996M11	26.26580
1996M12	26.29250
1997M01	26.31730
1997M02	26.34110
1997M03	26.33190
1997M04	26.36420
1997M05	26.37210
1997M06	26.37610
1997M07	27.66790
1997M08	29.33050
1997M09	32.39450
