month   ave_rain	dengue
2009M01	1.390000	3881.000
2009M02	0.370000	2660.000
2009M03	2.960000	2100.000
2009M04	4.620000	1840.000
2009M05	8.660000	3720.000
2009M06	14.60000	5928.000
2009M07	21.32000	7616.000
2009M08	13.16000	9532.000
2009M09	38.10000	6689.000
2009M10	8.780000	6867.000
2009M11	1.800000	4191.000
2009M12	0.210000	3012.000
2010M01	0.160000	6944.000
2010M02	0.000000	5216.000
2010M03	0.080000	4697.000
2010M04	0.670000	3293.000
2010M05	2.000000	5084.000
2010M06	11.86000	9146.000
2010M07	13.23000	19990.00
2010M08	20.26000	30010.00
2010M09	12.89000	26589.00
2010M10	13.34000	12144.00
2010M11	8.480000	7955.000
2010M12	4.410000	4279.000
2011M01	5.010000	10710.00
2011M02	0.010000	6851.000
2011M03	1.060000	5356.000
2011M04	0.100000	3795.000
2011M05	10.07000	3701.000
2011M06	24.16000	7023.000
2011M07	17.68000	15784.00
2011M08	20.46000	28549.00
2011M09	14.87000	18650.00
2011M10	9.180000	9613.000
2011M11	9.010000	6670.000
2011M12	7.080000	2166.000
2012M01	1.330000	9667.000
2012M02	4.430000	7308.000
2012M03	6.310000	6786.000
2012M04	0.070000	6159.000
2012M05	10.57000	8899.000
2012M06	10.44000	16467.00
2012M07	28.59000	23239.00
2012M08	44.75000	31999.00
2012M09	24.54000	24747.00
2012M10	10.94000	20060.00
2012M11	0.890000	15437.00
2012M12	1.550000	10284.00
2013M01	1.520000	12090.00
2013M02	3.180000	10343.00
2013M03	4.260000	8849.000
2013M04	1.580000	6888.000
2013M05	5.480000	8937.000
2013M06	19.20000	18725.00
2013M07	7.160000	31510.00
