month	cpi
1994M01	49.4
1994M02	50
1994M03	49.9
1994M04	50.1
1994M05	50.3
1994M06	50.5
1994M07	50.9
1994M08	51.2
1994M09	51.4
1994M10	51.4
1994M11	51.4
1994M12	51.5
1995M01	52.4
1995M02	52.8
1995M03	52.9
1995M04	53.1
1995M05	53.4
1995M06	53.8
1995M07	54.1
1995M08	54.7
1995M09	55.5
1995M10	55.6
1995M11	55.7
1995M12	55.7
1996M01	57.4
1996M02	57.7
1996M03	57.9
1996M04	58.1
1996M05	58.3
1996M06	58.6
1996M07	58.8
1996M08	59.2
1996M09	59.2
1996M10	59.3
1996M11	59.4
1996M12	59.8
1997M01	60.5
1997M02	60.7
1997M03	61.1
1997M04	61.1
1997M05	61.2
1997M06	61.9
1997M07	62.1
1997M08	62.4
1997M09	62.6
1997M10	62.8
1997M11	63.4
1997M12	63.7
1998M01	64.5
1998M02	65.4
1998M03	66.1
1998M04	66.4
1998M05	67.1
1998M06	68.2
1998M07	68.4
1998M08	68.7
1998M09	69
1998M10	69.1
1998M11	70.1
1998M12	70.1
1999M01	71.4
1999M02	71.5
1999M03	71.3
1999M04	71.3
1999M05	71.3
1999M06	71.8
1999M07	71.9
1999M08	72
1999M09	72.4
1999M10	72.7
1999M11	72.8
1999M12	72.8
2000M01	75.3
2000M02	75.5
2000M03	75.5
2000M04	75.7
2000M05	75.9
2000M06	76.2
2000M07	76.6
2000M08	76.9
2000M09	77.1
2000M10	77.6
2000M11	78.5
2000M12	79.1
2001M01	79.7
2001M02	79.9
2001M03	79.9
2001M04	79.9
2001M05	80.1
2001M06	80.7
2001M07	81.2
2001M08	81.3
2001M09	81.5
2001M10	81.6
2001M11	81.8
2001M12	82
2002M01	82.3
2002M02	82.2
2002M03	82.5
2002M04	82.6
2002M05	82.7
2002M06	82.8
2002M07	83.2
2002M08	83.5
2002M09	83.5
2002M10	83.5
2002M11	83.5
2002M12	83.7
2003M01	83.9
2003M02	84.1
2003M03	84.2
2003M04	84.4
2003M05	84.5
2003M06	85.1
2003M07	85.1
2003M08	85.3
2003M09	85.3
2003M10	85.4
2003M11	85.5
2003M12	85.8
2004M01	86.3
2004M02	86.5
2004M03	86.8
2004M04	87.1
2004M05	87.5
2004M06	88.6
2004M07	89.8
2004M08	90.2
2004M09	90.6
2004M10	90.8
2004M11	91.3
2004M12	91.9
2005M01	92.6
2005M02	92.8
2005M03	93
2005M04	93.4
2005M05	93.9
2005M06	94.5
2005M07	95.2
2005M08	95.7
2005M09	96
2005M10	96.4
2005M11	97
2005M12	97.3
2006M01	98.1
2006M02	98.8
2006M03	99.1
2006M04	99.3
2006M05	99.5
2006M06	100.1
2006M07	100.4
2006M08	100.7
2006M09	100.7
2006M10	100.9
2006M11	101.1
2006M12	101.3
2007M01	101.8
2007M02	101.7
2007M03	101.7
2007M04	101.9
2007M05	102.2
2007M06	102.7
2007M07	103.3
2007M08	103.4
2007M09	103.6
2007M10	103.8
2007M11	104.2
2007M12	105
2008M01	106.5
2008M02	106.9
2008M03	107.7
2008M04	109.3
2008M05	110.6
2008M06	112.4
2008M07	113.8
2008M08	114.3
2008M09	114.1
2008M10	113.9
2008M11	113.7
2008M12	113.2
2009M01	114.1
2009M02	114.6
2009M03	114.8
2009M04	115.4
2009M05	115.4
2009M06	116
2009M07	116.3
2009M08	116.3
2009M09	116.7
2009M10	117.2
2009M11	117.7
2009M12	118.2
2010M01	118.5
2010M02	119.1
2010M03	119.3
2010M04	120
2010M05	119.9
2010M06	120.2
2010M07	120.6
2010M08	121.1
2010M09	121.1
2010M10	121
2010M11	122.1
2010M12	122.5
2011M01	123.2
2011M02	124.7
2011M03	125.1
2011M04	125.6
2011M05	125.8
2011M06	126.5
2011M07	126.5
2011M08	126.7
2011M09	126.8
2011M10	127.3
2011M11	127.8
2011M12	127.6
2012M01	128.1
2012M02	128.1
2012M03	128.4
2012M04	129.4
2012M05	129.6
2012M06	130.2
2012M07	130.6
2012M08	131.5
2012M09	131.5
2012M10	131.4
2012M11	131.4
2012M12	131.4
2013M01	132.1
2013M02	132.4
2013M03	132.5
2013M04	132.8
2013M05	133
2013M06	133.7
2013M07	133.9
2013M08	134.2
2013M09	135
2013M10	135.2
2013M11	135.8
2013M12	136.8
2014M01	137.7
2014M02	137.8
2014M03	137.7
2014M04	138.3
2014M05	139
2014M06	139.6
2014M07	140.4
2014M08	140.8
2014M09	140.9
2014M10	141
2014M11	140.8
2014M12	140.5
2015M01	141
2015M02	141.2
2015M03	141
2015M04	141.3
2015M05	141.2
2015M06	141.3
2015M07	141.5
2015M08	141.7
2015M09	141.4
2015M10	141.6
2015M11	142.3
2015M12	142.6
2016M01	142.9
2016M02	142.5
2016M03	142.6
2016M04	142.9
2016M05	143.4
2016M06	144
