month,export
1991M01,635568518
1991M02,662653306
1991M03,742131287
1991M04,709699025
1991M05,688512212
1991M06,767697709
1991M07,793503022
1991M08,741203157
1991M09,764460901
1991M10,756876809
1991M11,751075238
1991M12,826132668
1992M01,662366553
1992M02,714898830
1992M03,898456547
1992M04,666450742
1992M05,811705523
1992M06,835569902
1992M07,851128658
1992M08,913091061
1992M09,873343155
1992M10,860359168
1992M11,824140485
1992M12,912803677
1993M01,790437274
1993M02,842705095
1993M03,842460915
1993M04,861726377
1993M05,932139386
1993M06,914435963
1993M07,998166493
1993M08,994502712
1993M09,1018302145
1993M10,1012522775
1993M11,1163360210
1993M12,1004045941
1994M01,951621856
1994M02,927008502
1994M03,1057666674
1994M04,965793270
1994M05,1083859879
1994M06,1125272636
1994M07,1217561845
1994M08,1178012739
1994M09,1239739740
1994M10,1299342735
1994M11,1128464006
1994M12,1308551660
1995M01,1160748394
1995M02,1263768380
1995M03,1298577283
1995M04,1377417699
1995M05,1400580633
1995M06,1521691870
1995M07,1592693716
1995M08,1591446955
1995M09,1594970078
1995M10,1601650105
1995M11,1422627417
1995M12,1621013605
1996M01,1420447244
1996M02,1594005715
1996M03,1670603477
1996M04,1491866914
1996M05,1612182193
1996M06,1793390815
1996M07,1693694307
1996M08,1773892603
1996M09,1875570991
1996M10,1883709477
1996M11,1849914761
1996M12,1883267902
1997M01,1692263113
1997M02,1812415070
1997M03,2001018452
1997M04,2082429845
1997M05,1982879342
1997M06,2129077284
1997M07,2067142448
1997M08,2257973088
1997M09,2337468892
1997M10,2326046764
1997M11,2308430580
1997M12,2230557752
1998M01,2114812034
1998M02,2227202908
1998M03,2474181862
1998M04,2284501468
1998M05,2414739055
1998M06,2389568281
1998M07,2501374868
1998M08,2652454948
1998M09,2786324139
1998M10,2542295807
1998M11,2585815298
1998M12,2523082200
1999M01,2580780826
1999M02,2569328986
1999M03,2702330690
1999M04,2345945316
1999M05,2746896905
1999M06,2857196085
1999M07,2851061303
1999M08,3211535584
1999M09,3693275081
1999M10,3459665969
1999M11,3075370095
1999M12,2943505820
2000M01,2716571560
2000M02,2902308122
2000M03,2988516721
2000M04,2667587635
2000M05,2930834998
2000M06,3410273546
2000M07,3219402685
2000M08,3529461791
2000M09,3502006958
2000M10,3398137887
2000M11,3316782069
2000M12,3496365822
2001M01,2888995982
2001M02,2805471748
2001M03,2869640382
2001M04,2245694300
2001M05,2599971007
2001M06,2578163835
2001M07,2594446005
2001M08,2620764527
2001M09,2731019845
2001M10,2940767411
2001M11,2629794168
2001M12,2645473482
2002M01,2631435355
2002M02,2627871195
2002M03,2849061701
2002M04,2748802011
2002M05,2918058836
2002M06,2936411423
2002M07,3222741781
2002M08,3032171349
2002M09,3191393763
2002M10,3033181410
2002M11,3103283089
2002M12,2913746779
2003M01,2732849831
2003M02,2787824284
2003M03,3128981051
2003M04,2726211859
2003M05,2827660315
2003M06,3060470078
2003M07,3009494255
2003M08,3003210820
2003M09,3353950818
2003M10,3339920475
2003M11,3085491785
2003M12,3175139873
2004M01,2849366652
2004M02,3004810087
2004M03,3361747792
2004M04,2982491297
2004M05,3267549867
2004M06,3317928115
2004M07,3108881144
2004M08,3430059627
2004M09,3641425821
2004M10,3753434618
2004M11,3685405864
2004M12,3277419596
2005M01,3294323624
2005M02,3000164622
2005M03,3267571826
2005M04,3245696520
2005M05,3304994276
2005M06,3358573683
2005M07,3503070371
2005M08,3512640841
2005M09,3674931488
2005M10,3634525359
2005M11,3631007906
2005M12,3827182953
2006M01,3532749442
2006M02,3448303896
2006M03,4173597607
2006M04,3917884768
2006M05,3885116437
2006M06,4055141466
2006M07,4016282591
2006M08,4273802974
2006M09,4178404907
2006M10,4207335417
2006M11,4031033192
2006M12,3690464643
2007M01,3991848889
2007M02,3721345093
2007M03,4487333472
2007M04,4124048820
2007M05,4127864486
2007M06,4147420772
2007M07,4248793462
2007M08,4121450834
2007M09,4389378756
2007M10,4659530169
2007M11,3964806575
2007M12,4481902591
2008M01,4230559185
2008M02,4112011705
2008M03,4200129457
2008M04,4327475585
2008M05,4225382102
2008M06,4527022129
2008M07,4437234124
2008M08,4394497148
2008M09,4445618966
2008M10,3990058305
2008M11,3512973480
2008M12,2674578323
2009M01,2512962951
2009M02,2506323003
2009M03,2906745064
2009M04,2803772063
2009M05,3088029755
2009M06,3406912732
2009M07,3313362062
2009M08,3472893225
2009M09,3637638407
2009M10,3748094991
2009M11,3717828961
2009M12,3321242946
2010M01,3579440238
2010M02,3570228465
2010M03,4181803677
2010M04,3611608900
2010M05,4241422444
2010M06,4556729367
2010M07,4505187660
2010M08,4774445446
2010M09,5340846922
2010M10,4788452359
2010M11,4146073638
2010M12,4201275491
2011M01,4001933656
2011M02,3927751788
2011M03,4356350530
2011M04,4306444209
2011M05,4118691412
2011M06,4134781698
2011M07,4460269870
2011M08,4172903202
2011M09,3896952089
2011M10,4155662784
2011M11,3366029692
2011M12,3407157204
2012M01,4123420986
2012M02,4430449373
2012M03,4322548738
2012M04,4635171810
2012M05,4931595660
2012M06,4314178605
2012M07,4727394926
2012M08,3797896423
2012M09,4784012770
2012M10,4407976641
2012M11,3549640000
