month,inflation
2013M01,2.8
2013M02,2.9
2013M03,2.7
2013M04,2.2
2013M05,2.3
2013M06,2.5
2013M07,2.5
2013M08,1.8
2013M09,2.3
2013M10,2.4
2013M11,2.9
2013M12,3.8
2014M01,3.7
2014M02,3.6
2014M03,3.5
2014M04,3.6
2014M05,4
2014M06,3.8
2014M07,4.2
2014M08,4.2
2014M09,3.9
2014M10,3.7
2014M11,3
2014M12,1.9
2015M01,1.5
2015M02,1.5
2015M03,1.5
2015M04,1.4
2015M05,0.9
2015M06,0.6
2015M07,0.2
2015M08,0
2015M09,-0.4
2015M10,-0.2
2015M11,0.3
2015M12,0.7
2016M01,0.7
2016M02,0.5
2016M03,0.6
2016M04,0.7
2016M05,0.9
2016M06,1.3
2016M07,1.3
2016M08,1.3
2016M09,1.7
2016M10,1.8
2016M11,2.1
2016M12,2.2
2017M01,2.5
2017M02,3.1
2017M03,3.1
2017M04,3.2
2017M05,2.9
2017M06,2.5
2017M07,2.4
2017M08,2.6
2017M09,3
2017M10,3.1
2017M11,3
2017M12,2.9
2018M01,3.4
2018M02,3.8
2018M03,4.3
2018M04,4.5
2018M05,4.6
2018M06,5.2
2018M07,5.7
2018M08,6.4
2018M09,6.7
